,1,2,3,4,5,6,7,8,9,10,arpd
2-30-10000-1-9,1.02851799906,1.00514259,1.05189340813,0.864890135577,1.28564749883,1.0752688172,0.958391771856,1.19214586255,1.00514259,1.37914913511,1.08461898083
2-30-10000-2-8,1.07627515208,1.12306972391,1.19326158166,1.14646700983,1.07627515208,1.12306972391,1.05287786617,0.959288722508,1.40383715489,1.28685072532,1.14412728124
2-40-10000-1-7,1.41843971631,1.39556165637,1.48707389613,1.73873255548,1.62434225578,1.41843971631,1.60146419584,1.55570807596,1.48707389613,1.67009837566,1.539693434
2-40-10000-2-6,1.5310786106,1.50822669104,1.1197440585,1.8281535649,1.48537477148,1.39396709324,1.64533820841,1.75959780622,1.66819012797,1.21115173675,1.51508226691
2-50-10000-1-5,1.32703553756,1.52946468736,1.28205128205,1.23706702654,1.32703553756,1.34952766532,1.14709851552,1.75438596491,1.43949617634,1.39451192083,1.3787674314
2-50-10000-2-4,1.55335434489,1.82350292661,1.55335434489,1.3507429086,1.53084196308,1.5758667267,1.26069338136,1.41828005403,1.46330481765,1.44079243584,1.49707339036
20-10-10000-1-9,0.115015974441,0.0766773162939,0.0766773162939,0.127795527157,0.178913738019,0.0894568690096,0.115015974441,0.038338658147,0.115015974441,0.0766773162939,0.100958466454
20-20-10000-1-7,0.405631114293,0.357909806729,0.357909806729,0.310188499165,0.381770460511,0.441422094965,0.417561441183,0.405631114293,0.441422094965,0.453352421856,0.397279885469
20-30-10000-1-5,0.34827025772,0.301834223357,0.406315300673,0.255398188995,0.301834223357,0.371488274901,0.359879266311,0.267007197585,0.325052240539,0.290225214767,0.322730438821
20-40-10000-1-3,0.343013949234,0.377315344157,0.400182940773,0.297278756003,0.400182940773,0.434484335696,0.320146352618,0.377315344157,0.354447747542,0.411616739081,0.371598445003
20-50-10000-1-1,0.396151669496,0.520656479909,0.373514431239,0.407470288625,0.44142614601,0.430107526882,0.498019241653,0.486700622524,0.452744765139,0.418788907753,0.442558007923
4-20-10000-1-2,0.792141951838,0.776299112801,0.823827629911,0.712927756654,0.950570342205,0.903041825095,0.728770595691,0.760456273764,0.807984790875,0.712927756654,0.796894803549
4-20-10000-2-3,0.322841000807,0.322841000807,0.262308313156,0.262308313156,0.403551251009,0.302663438257,0.242130750605,0.181598062954,0.343018563358,0.282485875706,0.292574656981
4-30-10000-1-1,0.53574161947,0.505127812644,0.673503750191,0.566355426297,0.566355426297,0.520434716057,0.673503750191,0.413286392163,0.658196846778,0.612276136538,0.572478187663
4-30-10000-2-0,0.340613103586,0.340613103586,0.38068523342,0.38068523342,0.260468843919,0.38068523342,0.340613103586,0.32057703867,0.280504908836,0.340613103586,0.336605890603
4-40-10000-1-9,0.780780780781,0.735735735736,0.705705705706,0.645645645646,0.720720720721,0.885885885886,0.675675675676,0.720720720721,0.735735735736,0.720720720721,0.732732732733
4-40-10000-2-8,0.180036007201,0.220044008802,0.220044008802,0.200040008002,0.200040008002,0.180036007201,0.200040008002,0.220044008802,0.180036007201,0.160032006401,0.196039207842
4-50-10000-1-7,0.69588392064,0.873556411016,0.88836245188,0.740302043234,0.784720165828,0.903168492745,0.769914124963,0.88836245188,0.681077879775,1.0068107788,0.823215872076
4-50-10000-2-6,0.0999600159936,0.0599760095962,0.0599760095962,0.0999600159936,0.0999600159936,0.0799680127949,0.119952019192,0.0799680127949,0.0599760095962,0.0599760095962,0.0819672131148
average,,,,,,,,,,,0.717210346998
