instance,best,worst,mean,std
2-30-10000-1-9,4330,4338,4334.6,2.412928142780515
2-30-10000-2-8,4329,4337,4334.3,2.5407785333546005
2-40-10000-1-7,4438,4451,4447.2,3.9101008796307144
2-40-10000-2-6,4460,4476,4467.8,4.541169697580374
2-50-10000-1-5,4508,4528,4517.9,5.606543795720617
2-50-10000-2-4,4509,4517,4513.8,2.3475755815545347
20-10-10000-1-9,7833,7843,7837.4,3.2386554137309655
20-20-10000-1-7,8414,8427,8421.5,4.143267631552018
20-30-10000-1-5,8643,8649,8646.4,2.118699810942761
20-40-10000-1-3,8781,8791,8785.0,2.581988897471611
20-50-10000-1-1,8879,8886,8881.5,2.223610677354389
4-20-10000-1-2,6368,6379,6372.5,3.7785946829182113
4-20-10000-2-3,4971,4975,4973.1,1.5951314818673865
4-30-10000-1-1,6578,6589,6584.0,3.39934634239519
4-30-10000-2-0,5008,5011,5009.9,0.9944289260117533
4-40-10000-1-9,6710,6716,6714.1,2.282785822435191
4-40-10000-2-8,5007,5009,5008.5,0.7071067811865476
4-50-10000-1-7,6813,6819,6816.7,2.359378449224852
4-50-10000-2-6,5005,5006,5005.5,0.5270462766947299
