instance,best,worst,mean,std
2-30-10000-1-9,4284,4286,4284.5,0.8498365855987975
2-30-10000-2-8,4291,4303,4297.1,3.212821536005731
2-40-10000-1-7,4382,4385,4383.9,1.1005049346146119
2-40-10000-2-6,4397,4410,4403.7,4.137900702315393
2-50-10000-1-5,4457,4459,4458.3,0.8232726023485646
2-50-10000-2-4,4474,4483,4479.4,2.7968235951204043
20-10-10000-1-9,7828,7832,7829.7,1.1595018087284057
20-20-10000-1-7,8389,8393,8390.5,1.509230856356236
20-30-10000-1-5,8621,8623,8621.6,0.6992058987801011
20-40-10000-1-3,8754,8756,8755.3,0.6749485577105528
20-50-10000-1-1,8844,8850,8847.6,1.7126976771553504
4-20-10000-1-2,6318,6326,6321.7,2.406010991015812
4-20-10000-2-3,4958,4961,4959.9,0.875595035770913
4-30-10000-1-1,6540,6543,6541.8,0.9189365834726815
4-30-10000-2-0,4998,5002,4999.5,1.1785113019775793
4-40-10000-1-9,6672,6675,6673.5,0.8498365855987975
4-40-10000-2-8,5003,5005,5003.7,0.6749485577105528
4-50-10000-1-7,6767,6770,6768.7,0.9486832980505138
4-50-10000-2-6,5003,5004,5003.4,0.5163977794943223
