instance,best,worst,mean,std
2-30-10000-1-9,4289,4296,4291.2,2.2010098692292237
2-30-10000-2-8,4291,4300,4294.0,2.943920288775949
2-40-10000-1-7,4393,4396,4394.2,0.9189365834726815
2-40-10000-2-6,4394,4405,4398.5,2.9154759474226504
2-50-10000-1-5,4464,4469,4466.8,1.3984117975602022
2-50-10000-2-4,4470,4475,4472.7,1.6363916944844772
20-10-10000-1-9,7827,7831,7829.5,1.35400640077266
20-20-10000-1-7,8389,8394,8391.0,1.9436506316151
20-30-10000-1-5,8622,8625,8623.5,1.1785113019775793
20-40-10000-1-3,8756,8762,8758.8,1.6865480854231354
20-50-10000-1-1,8849,8854,8850.9,1.728840330651992
4-20-10000-1-2,6323,6330,6326.7,2.213594362117866
4-20-10000-2-3,4959,4963,4961.4,1.0749676997731399
4-30-10000-1-1,6547,6554,6549.3,2.2632326929023945
4-30-10000-2-0,4999,5001,4999.8,0.6324555320336759
4-40-10000-1-9,6680,6684,6682.4,1.3498971154211057
4-40-10000-2-8,5003,5006,5004.6,0.8432740427115678
4-50-10000-1-7,6777,6779,6777.9,0.8755950357709131
4-50-10000-2-6,5003,5005,5003.9,0.7378647873726218
