,best,worst,mean,std
csp2-30-10000-1-9,4307,4325,4317.6,5.92921205182911
csp2-30-10000-2-8,4309,4340,4322.7,9.322016949137135
csp2-40-10000-1-7,4426,4457,4436.5,8.127456893491072
csp2-40-10000-2-6,4422,4463,4438.5,12.465507967543436
csp2-50-10000-1-5,4493,4519,4507.5,9.902300518341965
csp2-50-10000-2-4,4493,4519,4507.3,6.8321137122985425
csp20-10-10000-1-9,7828,7838,7832.5,3.100179206289712
csp20-20-10000-1-7,8396,8422,8412.3,8.40700765895796
csp20-30-10000-1-5,8629,8653,8639.5,8.209073570683167
csp20-40-10000-1-3,8765,8780,8774.7,4.321779468896786
csp20-50-10000-1-1,8864,8877,8870.8,4.589843860815602
csp4-20-10000-1-2,6352,6372,6358.9,6.573515886579352
csp4-20-10000-2-3,4963,4975,4968.1,3.381321240777536
csp4-30-10000-1-1,6564,6590,6571.7,7.288499312082166
csp4-30-10000-2-0,5004,5010,5006.7,1.8287822299126937
csp4-40-10000-1-9,6702,6717,6709.5,5.01663898109747
csp4-40-10000-2-8,5006,5010,5008.3,1.3374935098492586
csp4-50-10000-1-7,6806,6822,6813.4,5.719362823873925
csp4-50-10000-2-6,5005,5008,5005.9,0.8755950357709131
